【一塁手】,試合,刺殺,補殺,失策,併殺,捕逸,守備率,列9,球団,成績種別
【二塁手】,,,,,,,,,読売ジャイアンツ,守備成績
【三塁手】,,,,,,,,,読売ジャイアンツ,守備成績
【遊撃手】,,,,,,,,,読売ジャイアンツ,守備成績
【外野手】,,,,,,,,,読売ジャイアンツ,守備成績
*,三塚　琉生,1,6,0,0,0,,1.000,読売ジャイアンツ,守備成績
【捕手】,,,,,,,,,読売ジャイアンツ,守備成績
【投手】,,,,,,,,,読売ジャイアンツ,守備成績
*,石川　達也,28,5,14,0,2,,1.000,読売ジャイアンツ,守備成績
*,井上　温大,15,7,13,2,1,,.909,読売ジャイアンツ,守備成績
*,グリフィン,12,1,8,2,0,,.818,読売ジャイアンツ,守備成績
*,高梨　雄平,18,1,3,0,0,,1.000,読売ジャイアンツ,守備成績
*,中川　皓太,40,2,6,2,0,,.800,読売ジャイアンツ,守備成績
*,バルドナード,17,0,1,0,0,,1.000,読売ジャイアンツ,守備成績
*,山田　龍聖,2,0,0,0,0,,.000,読売ジャイアンツ,守備成績
*,横川　凱,16,4,9,0,3,,1.000,読売ジャイアンツ,守備成績
読売ジャイアンツ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,読売ジャイアンツ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,読売ジャイアンツ,守備成績
【二塁手】,,,,,,,,,阪神タイガース,守備成績
【三塁手】,,,,,,,,,阪神タイガース,守備成績
【遊撃手】,,,,,,,,,阪神タイガース,守備成績
【外野手】,,,,,,,,,阪神タイガース,守備成績
*,近本　光司,91,217,5,3,2,,.987,阪神タイガース,守備成績
*,前川　右京,46,65,1,0,0,,1.000,阪神タイガース,守備成績
【捕手】,,,,,,,,,阪神タイガース,守備成績
【投手】,,,,,,,,,阪神タイガース,守備成績
*,伊藤　将司,7,2,10,0,0,,1.000,阪神タイガース,守備成績
*,伊原　陵人,19,0,12,0,0,,1.000,阪神タイガース,守備成績
*,岩崎　優,37,0,3,0,2,,1.000,阪神タイガース,守備成績
*,岩貞　祐太,15,2,1,0,0,,1.000,阪神タイガース,守備成績
*,大竹　耕太郎,9,1,6,0,0,,1.000,阪神タイガース,守備成績
*,及川　雅貴,41,0,2,0,0,,1.000,阪神タイガース,守備成績
*,桐敷　拓馬,31,1,7,2,0,,.800,阪神タイガース,守備成績
*,島本　浩也,9,0,2,0,0,,1.000,阪神タイガース,守備成績
*,髙橋　遥人,1,0,2,1,0,,.667,阪神タイガース,守備成績
*,富田　蓮,9,0,3,0,1,,1.000,阪神タイガース,守備成績
*,門別　啓人,9,0,4,0,0,,1.000,阪神タイガース,守備成績
阪神タイガース||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,阪神タイガース,守備成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,阪神タイガース,守備成績
【二塁手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【三塁手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【遊撃手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【外野手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
*,関根　大気,6,8,0,0,0,,1.000,横浜DeNAベイスターズ,守備成績
【捕手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
【投手】,,,,,,,,,横浜DeNAベイスターズ,守備成績
*,東　克樹,15,1,12,1,1,,.929,横浜DeNAベイスターズ,守備成績
*,岩田　将貴,3,0,0,0,0,,.000,横浜DeNAベイスターズ,守備成績
*,ケイ,16,12,23,0,1,,1.000,横浜DeNAベイスターズ,守備成績
*,坂本　裕哉,16,2,3,0,0,,1.000,横浜DeNAベイスターズ,守備成績
横浜DeNAベイスターズ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,横浜DeNAベイスターズ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,横浜DeNAベイスターズ,守備成績
*,田村　俊介,13,102,6,0,7,,1.000,広島東洋カープ,守備成績
【二塁手】,,,,,,,,,広島東洋カープ,守備成績
【三塁手】,,,,,,,,,広島東洋カープ,守備成績
【遊撃手】,,,,,,,,,広島東洋カープ,守備成績
【外野手】,,,,,,,,,広島東洋カープ,守備成績
*,田村　俊介,4,4,0,0,0,,1.000,広島東洋カープ,守備成績
【捕手】,,,,,,,,,広島東洋カープ,守備成績
【投手】,,,,,,,,,広島東洋カープ,守備成績
*,佐藤　柳之介,4,0,2,0,0,,1.000,広島東洋カープ,守備成績
*,高橋　昂也,10,3,2,0,1,,1.000,広島東洋カープ,守備成績
*,滝田　一希,4,0,0,0,0,,.000,広島東洋カープ,守備成績
*,玉村　昇悟,14,3,3,0,0,,1.000,広島東洋カープ,守備成績
*,床田　寛樹,17,10,25,0,0,,1.000,広島東洋カープ,守備成績
*,ハーン,33,0,3,0,1,,1.000,広島東洋カープ,守備成績
*,長谷部　銀次,5,0,0,0,0,,.000,広島東洋カープ,守備成績
*,塹江　敦哉,25,3,7,0,0,,1.000,広島東洋カープ,守備成績
*,森　翔平,14,8,14,0,0,,1.000,広島東洋カープ,守備成績
*,森浦　大輔,39,1,10,1,1,,.917,広島東洋カープ,守備成績
広島東洋カープ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,広島東洋カープ,守備成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,広島東洋カープ,守備成績
【二塁手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【三塁手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【遊撃手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【外野手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
*,岩田　幸宏,65,140,2,2,0,,.986,東京ヤクルトスワローズ,守備成績
*,澤井　廉,17,27,0,1,0,,.964,東京ヤクルトスワローズ,守備成績
*,丸山　和郁,14,6,1,0,1,,1.000,東京ヤクルトスワローズ,守備成績
【捕手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
【投手】,,,,,,,,,東京ヤクルトスワローズ,守備成績
*,石川　雅規,5,0,2,1,0,,.667,東京ヤクルトスワローズ,守備成績
*,荘司　宏太,23,1,3,0,1,,1.000,東京ヤクルトスワローズ,守備成績
*,高橋　奎二,6,1,3,0,0,,1.000,東京ヤクルトスワローズ,守備成績
*,田口　麗斗,26,0,3,0,1,,1.000,東京ヤクルトスワローズ,守備成績
*,長谷川　宙輝,2,0,1,0,0,,1.000,東京ヤクルトスワローズ,守備成績
*,山野　太一,8,1,10,1,2,,.917,東京ヤクルトスワローズ,守備成績
*,山本　大貴,14,1,3,0,0,,1.000,東京ヤクルトスワローズ,守備成績
東京ヤクルトスワローズ||,公式戦(セ・リーグ),：,個人打撃|,個人投手|,チーム守備|,,,,東京ヤクルトスワローズ,守備成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,東京ヤクルトスワローズ,守備成績
【二塁手】,,,,,,,,,中日ドラゴンズ,守備成績
【三塁手】,,,,,,,,,中日ドラゴンズ,守備成績
【遊撃手】,,,,,,,,,中日ドラゴンズ,守備成績
【外野手】,,,,,,,,,中日ドラゴンズ,守備成績
*,大島　洋平,12,18,1,1,0,,.950,中日ドラゴンズ,守備成績
*,尾田　剛樹,18,6,0,0,0,,1.000,中日ドラゴンズ,守備成績
*,川越　誠司,4,4,0,1,0,,.800,中日ドラゴンズ,守備成績
【捕手】,,,,,,,,,中日ドラゴンズ,守備成績
【投手】,,,,,,,,,中日ドラゴンズ,守備成績
*,大野　雄大,12,2,12,0,1,,1.000,中日ドラゴンズ,守備成績
*,岡田　俊哉,3,0,1,0,0,,1.000,中日ドラゴンズ,守備成績
*,金丸　夢斗,8,2,11,0,0,,1.000,中日ドラゴンズ,守備成績
*,近藤　廉,3,0,0,0,0,,.000,中日ドラゴンズ,守備成績
*,齋藤　綱記,22,0,2,0,0,,1.000,中日ドラゴンズ,守備成績
*,橋本　侑樹,32,1,4,0,0,,1.000,中日ドラゴンズ,守備成績
*,福　敬登,12,1,3,1,0,,.800,中日ドラゴンズ,守備成績
*,マラー,11,3,7,1,0,,.909,中日ドラゴンズ,守備成績
*,松葉　貴大,16,9,23,1,2,,.970,中日ドラゴンズ,守備成績
*,三浦　瑞樹,7,3,6,2,0,,.818,中日ドラゴンズ,守備成績
